"Aasta","Tegevusala","Kivisüsi, tuhat t","Koks, tuhat t","Põlevkivi, tuhat t","Freesturvas, tuhat t","Tükkturvas, tuhat t","Turbabrikett, tuhat t","Puitkütus (väärindamata)*, tuhat tm","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Puiduhake, tuhat tm","Puidujäätmed, tuhat tm","Puidubrikett ja -graanulid, tuhat t","Maagaas, mln m³","Vedelgaas, tuhat t","Raske kütteõli, tuhat t","Põlevkiviõli (raske fraktsioon), tuhat t","Kerge kütteõli ja diislikütus, tuhat t","Diislikütus, tuhat t","Autobensiin, tuhat t","Lennukikütus, tuhat t","Põlevkivigaas, mln m³","Biogaas, mln m³","Muu biomass**, tuhat t","Jäätmekütus, tuhat t","Bituumen, tuhat t","Määrdeained, tuhat t","Elektrienergia, GWh","Soojus, GWh"
"2012","Põllumajandus",0.0,0.0,0.0,0.0,0.2,0.0,5.7,3.8,1.9,1.7,0.2,0.0,11.9,1.0,0.0,1.1,83.0,68.8,2.3,0.0,0.0,0.0,2.0,..,0.0,0.4,202,110
"2012","Metsamajandus",0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,17.1,2.0,0.0,0.0,0.0,0.0,..,0.0,0.2,10,4
"2012","Kalapüük",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,2.9,0.0,0.0,0.0,0.0,0.0,..,0.0,0.0,0,0
"2012","Põlevkivi kaevandamine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.1,20.1,0.0,0.0,0.0,0.0,0.0,..,0.0,0.7,246,41
"2012","Turba tootmine ja muu kaevandamine",0.0,0.0,0.0,86.9,11.9,0.0,14.3,0.4,13.9,0.0,13.9,0.6,9.7,0.0,0.0,0.0,10.9,10.8,0.4,0.0,0.0,0.0,0.0,..,0.0,0.1,28,22
"2012","Toiduainete tootmine, joogitootmine",0.2,0.0,0.0,0.0,4.3,0.0,2.4,1.0,1.4,0.7,0.7,0.0,27.1,0.1,0.0,7.4,10.0,4.0,1.5,0.0,0.0,0.0,0.0,..,0.0,0.0,321,365
"2012","Tekstiili- ja rõivatootmine, nahatöötlemine ja nahktoodete tootmine",0.2,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,0.0,0.0,2.8,0.0,0.0,1.1,1.6,1.2,1.0,0.0,0.0,0.0,0.0,..,0.0,0.0,119,63
"2012","Puidutöötlemine",0.0,0.0,0.0,0.0,3.5,0.0,463.8,1.6,462.2,126.9,335.3,8.0,6.2,0.2,0.0,0.0,12.2,10.0,1.3,0.0,0.0,0.0,0.0,..,0.0,0.1,314,701
"2012","Paberi ja pabertoodete tootmine, trükindus ja salvestiste paljundus",0.0,0.0,0.0,0.0,0.0,0.0,86.2,0.2,86.0,0.0,86.0,0.0,33.8,0.0,0.1,0.0,1.4,0.9,0.5,0.0,0.0,0.0,137.2,..,0.0,0.0,364,418
"2012","Koksi ja puhastatud naftatoodete tootmine",0.0,0.0,4801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.0,0.0,2.8,2.6,2.6,0.0,0.0,232.0,0.0,0.0,..,0.0,0.0,187,177
"2012","keemia- ja farmaatsiatoodete tootmine",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,27.6,2.1,0.0,0.0,1.6,1.1,0.3,0.0,0.0,0.0,0.0,..,0.0,0.0,199,193
"2012","Kummi- ja plasttoodete tootmine",0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.3,0.0,0.3,0.0,1.6,0.3,0.0,0.0,1.7,0.8,0.8,0.0,0.0,0.0,0.0,..,0.0,0.0,121,26
"2012","Muude mittemetalsetest mineraalidest toodete tootmine",51.1,0.0,190.9,0.0,0.0,0.0,1.1,0.3,0.8,0.0,0.8,0.0,25.6,0.0,0.0,0.6,4.8,3.7,0.4,0.0,0.0,0.0,0.0,..,0.0,0.1,206,44
"2012","Metallitootmine",0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,2.4,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,..,0.0,0.0,10,1
"2012","Metalltoodete tootmine",0.1,0.0,0.0,0.0,0.0,0.0,1.4,1.1,0.3,0.0,0.3,0.2,7.9,0.3,0.0,0.1,3.4,2.2,1.4,0.0,0.0,0.0,0.0,..,0.0,0.0,146,63
