"Aasta","Maakond","Kivisüsi, tuhat tonni","Põlevkivi, tuhat tonni","Turvas, tuhat tonni","Turbabrikett, tuhat tonni","Küttepuud, tuhat tm","Puiduhake ja -jäätmed, tuhat tm","Maagaas, miljonit m³","Raske kütteõli, tuhat tonni","Põlevkiviõli (raske fraktsioon), tuhat tonni","Kerge kütteõli ja diislikütus, tuhat tonni","Kerge kütteõli*, tuhat tonni","Diislikütus, tuhat tonni","Autobensiin, tuhat tonni","Elektrienergia, GWh","Soojus, GWh"
"2018","Jõgeva maakond",0,0,0,0,38,58,5,0,0,20,1,19,5,95,197
"2018","Järva maakond",0,0,0,0,35,73,1,0,1,22,1,21,6,106,208
"2018","Lääne maakond",0,0,0,0,28,30,0,0,0,11,0,11,4,71,119
"2018","Lääne-Viru maakond",44,106,0,0,67,222,36,0,0,25,1,24,11,768,547
"2018","Põlva maakond",0,0,0,0,32,51,5,0,0,13,0,13,4,76,120
"2018","Pärnu maakond",0,0,18,0,95,178,11,0,4,37,0,37,14,347,475
"2018","Rapla maakond",0,0,0,0,41,55,20,0,0,18,0,18,6,142,245
"2018","Saare maakond",0,0,0,0,40,89,1,0,1,10,0,10,6,113,154
"2018","Tartu maakond",0,0,56,0,181,691,34,0,2,98,0,98,25,648,877
"2018","..Tartu linn",0,0,0,0,107,297,17,0,0,72,0,72,15,402,367
"2018","Valga maakond",0,0,0,0,35,66,0,0,0,11,1,10,5,170,213
"2018","Viljandi maakond",0,0,1,0,58,167,7,0,0,21,1,20,8,200,350
"2018","Võru maakond",1,0,0,0,39,98,0,0,2,17,0,17,6,72,205
"2019","Kogu Eesti",50,15760,87,0,1434,4407,460,2,34,677,7,670,263,9141,9578
"2019","Harju maakond",1,0,21,0,630,2491,284,2,10,310,2,308,129,3664,4194
"2019","..Tallinn",1,0,21,0,458,2225,251,2,9,237,1,236,99,2696,2990
"2019","Hiiu maakond",0,0,0,0,11,6,0,0,0,4,0,4,2,29,46
"2019","Ida-Viru maakond",2,15664,0,0,154,475,53,0,14,61,0,61,28,2347,1356
"2019","Jõgeva maakond",0,0,0,0,37,44,4,0,0,16,0,16,5,101,211
"2019","Järva maakond",0,0,0,0,33,54,3,0,1,21,0,21,5,151,223
"2019","Lääne maakond",0,0,0,0,27,15,0,0,0,10,1,9,4,96,128
"2019","Lääne-Viru maakond",46,96,0,0,64,200,35,0,0,28,1,27,12,729,587
"2019","Põlva maakond",0,0,0,0,30,39,4,0,0,12,0,12,5,105,129
"2019","Pärnu maakond",1,0,15,0,90,131,12,0,3,38,0,38,14,374,510
"2019","Rapla maakond",0,0,0,0,38,39,22,0,0,13,0,13,8,188,263
"2019","Saare maakond",0,0,0,0,38,72,2,0,1,10,0,10,6,156,165
"2019","Tartu maakond",0,0,50,0,156,534,33,0,3,103,0,103,26,728,941
"2019","..Tartu linn",0,0,0,0,99,160,19,0,1,74,0,74,17,492,394
"2019","Valga maakond",0,0,0,0,33,83,0,0,0,12,1,11,5,145,229
"2019","Viljandi maakond",0,0,1,0,54,153,7,0,1,21,1,20,8,251,376
"2019","Võru maakond",0,0,0,0,39,71,1,0,1,18,1,17,6,77,220
