Aasta,Maakond,Kogus,Liik,Ühik_x,Ühikuhind,Ühik_y,Kogukulu
2012,Tartu maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,..Tartu linn,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Valga maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Viljandi maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2012,Võru maakond,0.0,Raske kütteõli,tuhat tonni,565.44,eurot/t,0.0
2013,Kogu Eesti,1.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,490.96
2013,Harju maakond,1.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,490.96
2013,..Tallinn,1.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,490.96
2013,Hiiu maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Ida-Viru maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Jõgeva maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Järva maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Lääne maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Lääne-Viru maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Põlva maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Pärnu maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Rapla maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Saare maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Tartu maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,..Tartu linn,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Valga maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Viljandi maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2013,Võru maakond,0.0,Raske kütteõli,tuhat tonni,490.96,eurot/t,0.0
2014,Kogu Eesti,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Harju maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,..Tallinn,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Hiiu maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Ida-Viru maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Jõgeva maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Järva maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Lääne maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Lääne-Viru maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Põlva maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Pärnu maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Rapla maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Saare maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Tartu maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,..Tartu linn,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Valga maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Viljandi maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2014,Võru maakond,0.0,Raske kütteõli,tuhat tonni,453.92,eurot/t,0.0
2015,Kogu Eesti,1.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,437.0
2015,Harju maakond,1.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,437.0
2015,..Tallinn,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Hiiu maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Ida-Viru maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Jõgeva maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Järva maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Lääne maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Lääne-Viru maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Põlva maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Pärnu maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Rapla maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Saare maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Tartu maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,..Tartu linn,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Valga maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Viljandi maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2015,Võru maakond,0.0,Raske kütteõli,tuhat tonni,437.0,eurot/t,0.0
2016,Kogu Eesti,2.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,680.76
2016,Harju maakond,1.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,340.38
2016,..Tallinn,1.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,340.38
2016,Hiiu maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Ida-Viru maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Jõgeva maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Järva maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Lääne maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Lääne-Viru maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Põlva maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Pärnu maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Rapla maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Saare maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Tartu maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,..Tartu linn,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Valga maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Viljandi maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2016,Võru maakond,0.0,Raske kütteõli,tuhat tonni,340.38,eurot/t,0.0
2017,Kogu Eesti,2.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,801.74
2017,Harju maakond,2.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,801.74
2017,..Tallinn,1.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,400.87
2017,Hiiu maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Ida-Viru maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Jõgeva maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Järva maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
2017,Lääne maakond,0.0,Raske kütteõli,tuhat tonni,400.87,eurot/t,0.0
